written_time_art              loc...  source        smn_updated                           host                      forecast_snippet                                                                
----------------------------  ------  ------------  ------------------------------------  ------------------------  --------------------------------------------------------------------------------
2026-04-16 09:31:48 -03:00      4864  TG_MORNING    2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES@CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:00:00 -03:00      4864  OBS_EMAIL     2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES@CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:38:13 -03:00      4864  TG_MORNING    2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES@CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:00:00 -03:00      4864  OBS_EMAIL     2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES@CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:48:39 -03:00      4864  TG_MORNING    2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES/CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:00:00 -03:00      4864  OBS_EMAIL     2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES/CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:52:53 -03:00      4864  TG_MORNING    2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES/CABA (Actualización de las 06:17 del jueves 1...
2026-04-16 09:00:00 -03:00      4864  OBS_EMAIL     2026-04-16T06:17:01-03:00             mduh-ltmxnz6.internal...  CIUDAD AUTÓNOMA DE BUENOS AIRES/CABA (Actualización de las 06:17 del jueves 1...
